pair,side,entry_time_et,exit_time_et,hold_min,entry_z,exit_z,beta,qty_a,qty_b,entry_a,entry_b,exit_a,exit_b,pnl,exit_reason
V-AXP,SHORT_SPREAD,2025-12-11 15:56:00-05:00,2025-12-12 09:30:00-05:00,5.0,4.507929288416693,,0.4139965413956067,-7,16,347.0400085449219,385.010009765625,347.7149963378906,386.1199951171875,13.03485107421875,OVERNIGHT_FLAT
V-AXP,SHORT_SPREAD,2025-12-12 14:50:00-05:00,2025-12-12 14:51:00-05:00,1.0,2.706760940152095,3.458901003724734,0.4022902783374677,-7,16,348.0899963378906,380.2799987792969,348.2699890136719,380.44500732421875,1.38018798828125,STOP
V-AXP,SHORT_SPREAD,2025-12-12 15:14:00-05:00,2025-12-12 15:19:00-05:00,5.0,2.3712462647985677,-0.10797599349132822,0.42467637040432515,-7,16,348.6199951171875,381.42010498046875,348.1199951171875,381.3800048828125,2.8583984375,TP
V-AXP,LONG_SPREAD,2025-12-12 15:27:00-05:00,2025-12-12 15:57:00-05:00,30.0,-2.34269881543416,,0.46571970953707276,8,-16,347.4150085449219,380.8500061035156,348.0199890136719,382.010009765625,-13.72021484375,TIME
V-AXP,LONG_SPREAD,2025-12-15 13:16:00-05:00,2025-12-15 13:23:00-05:00,7.0,-2.183391321386164,-3.6970332419727243,0.5500688200517664,9,-15,345.1050109863281,381.3699951171875,344.4700012207031,380.9200134277344,1.034637451171875,STOP
MA-AXP,SHORT_SPREAD,2025-12-11 09:50:00-05:00,2025-12-11 10:12:00-05:00,22.0,2.4632193532866045,0.1760982188292206,2.280882110988226,-11,7,552.3300170898438,379.79998779296875,551.3699951171875,380.8500061035156,17.910369873046875,TP
MA-AXP,SHORT_SPREAD,2025-12-11 11:33:00-05:00,2025-12-11 12:03:00-05:00,30.0,2.613703333602626,,1.4352972158887092,-9,9,556.4949951171875,381.8599853515625,557.969970703125,382.7099914550781,-5.624725341796875,TIME
MA-AXP,LONG_SPREAD,2025-12-11 15:29:00-05:00,2025-12-11 15:33:00-05:00,4.0,-2.7523804076666463,0.11830667870344858,0.7025770010961387,6,-13,562.4299926757812,385.30499267578125,563.2050170898438,385.5400085449219,1.594940185546875,TP
MA-AXP,SHORT_SPREAD,2025-12-11 15:48:00-05:00,2025-12-11 15:55:00-05:00,7.0,2.255184764891991,3.60771606432742,0.6129170917455145,-6,14,564.2899780273438,385.2149963378906,564.4199829101562,385.1400146484375,-1.82977294921875,STOP
MA-AXP,SHORT_SPREAD,2025-12-11 15:56:00-05:00,2025-12-12 09:30:00-05:00,5.0,2.6555317968445116,,0.6461165015378965,-6,14,564.3499755859375,385.010009765625,566.9550170898438,386.1199951171875,-0.0904541015625,OVERNIGHT_FLAT
MA-AXP,LONG_SPREAD,2025-12-15 13:15:00-05:00,2025-12-15 13:17:00-05:00,2.0,-2.6832957530731014,-3.8462648328025035,0.5655222327641994,5,-15,568.635009765625,381.2799987792969,568.3300170898438,381.2250061035156,-0.7000732421875,STOP
MA-AXP,LONG_SPREAD,2025-12-15 13:18:00-05:00,2025-12-15 13:48:00-05:00,30.0,-3.2613678372371724,,0.5296848991638402,5,-15,568.1599731445312,381.1549987792969,567.7100219726562,381.6300048828125,-9.374847412109375,TIME
MA-AXP,SHORT_SPREAD,2025-12-16 14:04:00-05:00,2025-12-16 14:08:00-05:00,4.0,2.1693464263035587,0.3313288395691046,1.1885387038911917,-8,10,565.0908203125,379.05218505859375,565.02001953125,379.4396057128906,4.44061279296875,TP
MA-AXP,LONG_SPREAD,2025-12-16 14:26:00-05:00,2025-12-16 14:35:00-05:00,9.0,-2.2628396347470967,-0.09881855858527486,0.9088941533539197,7,-12,564.3300170898438,379.9884948730469,565.3300170898438,380.32000732421875,3.0218505859375,TP
MA-AXP,SHORT_SPREAD,2025-12-16 15:22:00-05:00,2025-12-16 15:37:00-05:00,15.0,2.143000100266194,0.4612398887934307,0.7986220914956471,-7,13,566.5700073242188,380.25,566.0399780273438,380.70001220703125,9.56036376953125,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 11:00:00-05:00,2025-12-10 11:01:00-05:00,1.0,2.7598992885005766,-0.024142491741684324,4.726097199197392,-19,19,385.7699890136719,79.00559997558594,385.70001220703125,78.98999786376953,1.0331192016601562,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 11:35:00-05:00,2025-12-10 11:36:00-05:00,1.0,2.3563450222091133,0.20152132249082272,4.705198282609733,-19,19,386.17498779296875,79.08999633789062,386.2250061035156,79.0999984741211,-0.7603073120117188,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 11:53:00-05:00,2025-12-10 11:56:00-05:00,3.0,2.230743389974366,-0.3186488956920201,4.847565480450483,-19,19,386.6700134277344,79.19560241699219,386.55999755859375,79.16500091552734,1.5088729858398438,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 12:07:00-05:00,2025-12-10 12:15:00-05:00,8.0,4.078919503727703,0.16794308400308777,4.836739069614938,-19,19,386.4700012207031,79.1449966430664,386.2799987792969,79.11139678955078,2.971649169921875,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 12:20:00-05:00,2025-12-10 12:21:00-05:00,1.0,2.3890518734943953,0.23254326213279214,4.846315819790229,-19,19,386.4100036621094,79.1343994140625,386.3949890136719,79.13580322265625,0.31195068359375,TP
GLD-IAU,LONG_SPREAD,2025-12-10 13:16:00-05:00,2025-12-10 13:17:00-05:00,1.0,-2.189686301542078,-0.19133740440374883,4.809919772512848,19,-19,386.1650085449219,79.08499908447266,386.17999267578125,79.08480072021484,0.2884674072265625,TP
GLD-IAU,LONG_SPREAD,2025-12-10 13:38:00-05:00,2025-12-10 13:40:00-05:00,2.0,-3.4579363601405118,-3.237079493849582,4.976489893667554,19,-19,385.7101135253906,79.0,385.6341857910156,78.9800033569336,-1.0626907348632812,STOP
GLD-IAU,LONG_SPREAD,2025-12-10 14:00:00-05:00,2025-12-10 14:08:00-05:00,8.0,-2.114676293087452,-0.2292504320741279,4.952475785170899,19,-19,387.25,79.30999755859375,387.6293029785156,79.38500213623047,5.781669616699219,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 14:13:00-05:00,2025-12-10 14:15:00-05:00,2.0,2.2675395826802704,4.378244037327546,4.863857622814094,-19,19,387.2799987792969,79.30500030517578,387.55999755859375,79.37999725341797,-3.8950347900390625,STOP
GLD-IAU,LONG_SPREAD,2025-12-10 14:26:00-05:00,2025-12-10 14:28:00-05:00,2.0,-2.039847381926885,-0.017728314283683936,4.87625846769438,19,-19,386.8898010253906,79.2385025024414,385.989501953125,79.04499816894531,-13.429100036621094,TP
GLD-IAU,LONG_SPREAD,2025-12-10 14:42:00-05:00,2025-12-10 14:43:00-05:00,1.0,-2.1435057993910775,0.42917733653090534,4.890108432657553,19,-19,385.32000732421875,78.91000366210938,384.9750061035156,78.83000183105469,-5.0349884033203125,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 14:45:00-05:00,2025-12-10 14:47:00-05:00,2.0,3.19798026364786,0.4916138467622909,4.86178394377332,-19,19,385.5799865722656,78.95999908447266,385.1199951171875,78.87999725341797,7.2198028564453125,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 15:03:00-05:00,2025-12-10 15:05:00-05:00,2.0,2.7259344905350233,0.016851278058715478,4.878676972940248,-19,19,387.5260009765625,79.37999725341797,388.3599853515625,79.55000305175781,-12.615592956542969,TP
GLD-IAU,SHORT_SPREAD,2025-12-10 15:11:00-05:00,2025-12-10 15:14:00-05:00,3.0,2.8812555894847938,-0.11994810630956318,4.854932819004649,-19,19,388.9700012207031,79.67500305175781,389.4800109863281,79.7699966430664,-7.885307312011719,TP
GLD-IAU,LONG_SPREAD,2025-12-11 10:07:00-05:00,2025-12-11 10:15:00-05:00,8.0,-2.6672273290383965,-0.09764050912010787,4.8414580990324,19,-19,389.4800109863281,79.77880096435547,389.55999755859375,79.79000091552734,1.30694580078125,TP
GLD-IAU,SHORT_SPREAD,2025-12-11 11:29:00-05:00,2025-12-11 11:33:00-05:00,4.0,2.1743688859710555,0.29602639657057345,4.949852296607357,-19,18,391.44000244140625,80.16339874267578,391.4584045410156,80.16999816894531,-0.2308502197265625,TP
GLD-IAU,LONG_SPREAD,2025-12-11 11:46:00-05:00,2025-12-11 11:48:00-05:00,2.0,-2.0764720419808436,-0.35064332004952753,4.956753652228811,19,-18,392.0,80.27850341796875,392.92999267578125,80.4800033569336,14.042861938476562,TP
GLD-IAU,SHORT_SPREAD,2025-12-11 11:55:00-05:00,2025-12-11 11:56:00-05:00,1.0,3.8680296449959433,0.4172364496414431,4.961136596904426,-19,18,392.9200134277344,80.46499633789062,392.8599853515625,80.44999694824219,0.87054443359375,TP
GLD-IAU,LONG_SPREAD,2025-12-11 12:02:00-05:00,2025-12-11 12:13:00-05:00,11.0,-2.1052517242573376,-0.08540695145426969,4.942177906963323,19,-18,392.9599914550781,80.48999786376953,393.2850036621094,80.55000305175781,5.0951385498046875,TP
GLD-IAU,SHORT_SPREAD,2025-12-11 13:17:00-05:00,2025-12-11 13:18:00-05:00,1.0,2.1757215510126597,-0.23033054606593534,4.945606395798778,-19,18,394.0061950683594,80.69000244140625,394.04998779296875,80.69999694824219,-0.65216064453125,TP
GLD-IAU,LONG_SPREAD,2025-12-11 13:42:00-05:00,2025-12-11 13:48:00-05:00,6.0,-2.4204472854801597,-0.4575823899336533,4.857074249604504,18,-19,393.5669860839844,80.60769653320312,393.42999267578125,80.57029724121094,-1.7552947998046875,TP
GLD-IAU,SHORT_SPREAD,2025-12-11 14:05:00-05:00,2025-12-11 14:07:00-05:00,2.0,2.6781580841709554,0.3049224835588552,4.872092706202551,-19,19,392.6499938964844,80.4000015258789,392.5400085449219,80.37999725341797,1.7096405029296875,TP
GLD-IAU,SHORT_SPREAD,2025-12-11 14:13:00-05:00,2025-12-11 14:14:00-05:00,1.0,3.993154540707234,-0.39375972435718126,4.785828980997862,-18,19,392.6400146484375,80.41000366210938,392.77899169921875,80.43499755859375,-2.026702880859375,TP
